board,conn,conn_pin,chip_pad
CMODA7,JA,P01,G17
CMODA7,JA,P02,G19
CMODA7,JA,P03,N18
CMODA7,JA,P04,L18
CMODA7,JA,P05,GND
CMODA7,JA,P06,PWR
CMODA7,JA,P07,H17
CMODA7,JA,P08,H19
CMODA7,JA,P09,J19
CMODA7,JA,P10,K18
CMODA7,JA,P11,GND
CMODA7,JA,P12,PWR
CMODA7,PIO,P01,M3
CMODA7,PIO,P02,L3
CMODA7,PIO,P03,A16
CMODA7,PIO,P04,K3
CMODA7,PIO,P05,C15
CMODA7,PIO,P06,H1
CMODA7,PIO,P07,A15
CMODA7,PIO,P08,B15
CMODA7,PIO,P09,A14
CMODA7,PIO,P10,J3
CMODA7,PIO,P11,J1
CMODA7,PIO,P12,K2
CMODA7,PIO,P13,L1
CMODA7,PIO,P14,L2
CMODA7,PIO,P15,AIN15
CMODA7,PIO,P16,AIN16
CMODA7,PIO,P17,M1
CMODA7,PIO,P18,N3
CMODA7,PIO,P19,P3
CMODA7,PIO,P20,M2
CMODA7,PIO,P21,N1
CMODA7,PIO,P22,N2
CMODA7,PIO,P23,P1
CMODA7,PIO,P24,???
CMODA7,PIO,P25,???
CMODA7,PIO,P26,R3
CMODA7,PIO,P27,T3
CMODA7,PIO,P28,R2
CMODA7,PIO,P29,T1
CMODA7,PIO,P30,T2
CMODA7,PIO,P31,U1
CMODA7,PIO,P32,W2
CMODA7,PIO,P33,V2
CMODA7,PIO,P34,W3
CMODA7,PIO,P35,V3
CMODA7,PIO,P36,W5
CMODA7,PIO,P37,V4
CMODA7,PIO,P38,U4
CMODA7,PIO,P39,V5
CMODA7,PIO,P40,W4
CMODA7,PIO,P41,U5
CMODA7,PIO,P42,U2
CMODA7,PIO,P43,W6
CMODA7,PIO,P44,U3
CMODA7,PIO,P45,U7
CMODA7,PIO,P46,W7
CMODA7,PIO,P47,U8
CMODA7,PIO,P48,V8
