board,conn,conn_pin,chip_pad
KSDB,JA1,P04,G14
KSDB,JA1,P14,C20
KSDB,JA1,P12,B20
KSDB,JA1,P20,B19
KSDB,JA1,P18,A20
KSDB,JA1,P17,E17
KSDB,JA1,P19,D18
KSDB,JA1,P08,D19
KSDB,JA1,P06,D20
KSDB,JA1,P05,E18
KSDB,JA1,P07,E19
KSDB,JA1,P11,F16
KSDB,JA1,P13,F17
KSDB,JA2,P32,M19
KSDB,JA2,P30,M20
KSDB,JA2,P29,M17
KSDB,JA2,P31,M18
KSDB,JA2,P23,L19
KSDB,JA2,P25,L20
KSDB,JA2,P26,K19
KSDB,JA2,P24,J19
KSDB,JA2,P35,L16
KSDB,JA2,P37,L17
KSDB,JA2,P38,K17
KSDB,JA2,P36,K18
KSDB,JA1,P38,H16
KSDB,JA1,P36,H17
KSDB,JA1,P35,J18
KSDB,JA1,P37,H18
KSDB,JA1,P23,F19
KSDB,JA1,P25,F20
KSDB,JA1,P32,G17
KSDB,JA1,P30,G18
KSDB,JA1,P29,J20
KSDB,JA1,P31,H20
KSDB,JA1,P26,G19
KSDB,JA1,P24,G20
KSDB,JA2,P14,H15
KSDB,JA2,P12,G15
KSDB,JA2,P20,K14
KSDB,JA2,P18,J14
KSDB,JA2,P17,N15
KSDB,JA2,P19,N16
KSDB,JA2,P05,L14
KSDB,JA2,P07,L15
KSDB,JA2,P11,M14
KSDB,JA2,P13,M15
KSDB,JA2,P08,K16
KSDB,JA2,P06,J16
KSDB,JA2,P04,J15
KSDB,JB2,P04,R19
KSDB,JB1,P05,T11
KSDB,JB1,P07,T10
KSDB,JB1,P08,T12
KSDB,JB1,P06,U12
KSDB,JB1,P17,U13
KSDB,JB1,P19,V13
KSDB,JB1,P14,V12
KSDB,JB1,P12,W13
KSDB,JB1,P20,T14
KSDB,JB1,P18,T15
KSDB,JB1,P11,P14
KSDB,JB1,P13,R14
KSDB,JB1,P26,Y16
KSDB,JB1,P24,Y17
KSDB,JB1,P29,W14
KSDB,JB1,P31,Y14
KSDB,JB1,P23,T16
KSDB,JB1,P25,U17
KSDB,JB1,P32,V15
KSDB,JB1,P30,W15
KSDB,JB1,P35,U14
KSDB,JB1,P37,U15
KSDB,JB1,P38,U18
KSDB,JB1,P36,U19
KSDB,JB2,P38,N18
KSDB,JB2,P36,P19
KSDB,JB2,P35,N20
KSDB,JB2,P37,P20
KSDB,JB2,P23,T20
KSDB,JB2,P25,U20
KSDB,JB2,P29,V20
KSDB,JB2,P31,W20
KSDB,JB2,P32,Y18
KSDB,JB2,P30,Y19
KSDB,JB2,P26,V16
KSDB,JB2,P24,W16
KSDB,JB2,P14,R16
KSDB,JB2,P12,R17
KSDB,JB2,P11,T17
KSDB,JB2,P13,R18
KSDB,JB2,P17,V17
KSDB,JB2,P19,V18
KSDB,JB2,P20,W18
KSDB,JB2,P18,W19
KSDB,JB2,P05,N17
KSDB,JB2,P07,P18
KSDB,JB2,P08,P15
KSDB,JB2,P06,P16
KSDB,JB1,P04,T19
KSDB,JC1,P04,V5
KSDB,JC1,P05,U7
KSDB,JC1,P07,V7
KSDB,JC1,P08,T9
KSDB,JC1,P06,U10
KSDB,JC1,P38,Y7
KSDB,JC1,P36,Y6
KSDB,JC1,P35,Y9
KSDB,JC1,P37,Y8
KSDB,JC1,P23,V8
KSDB,JC1,P25,W8
KSDB,JC1,P32,W10
KSDB,JC1,P30,W9
KSDB,JC1,P29,U9
KSDB,JC1,P31,U8
KSDB,JC1,P26,W11
KSDB,JC1,P24,Y11
KSDB,JC1,P11,T5
KSDB,JC1,P13,U5
KSDB,JC1,P14,Y12
KSDB,JC1,P12,Y13
KSDB,JC1,P17,V11
KSDB,JC1,P19,V10
KSDB,JC1,P20,V6
KSDB,JC1,P18,W6
