board,conn,conn_pin,chip_pad
ZB,JA,P01,Y11
ZB,JA,P02,AA11
ZB,JA,P03,Y10
ZB,JA,P04,AA9
ZB,JA,P05,GND
ZB,JA,P06,PWR
ZB,JA,P07,AB11
ZB,JA,P08,AB10
ZB,JA,P09,AB9
ZB,JA,P10,AA8
ZB,JA,P11,GND
ZB,JA,P12,PWR
ZB,JB,P01,W12
ZB,JB,P02,W11
ZB,JB,P03,V10
ZB,JB,P04,W8
ZB,JB,P05,GND
ZB,JB,P06,PWR
ZB,JB,P07,V12
ZB,JB,P08,W10
ZB,JB,P09,V9
ZB,JB,P10,V8
ZB,JB,P11,GND
ZB,JB,P12,PWR
ZB,JC,P01,AB7
ZB,JC,P02,AB6
ZB,JC,P03,Y4
ZB,JC,P04,AA4
ZB,JC,P05,GND
ZB,JC,P06,PWR
ZB,JC,P07,R6
ZB,JC,P08,T6
ZB,JC,P09,T4
ZB,JC,P10,U4
ZB,JC,P11,GND
ZB,JC,P12,PWR
ZB,JD,P01,V7
ZB,JD,P02,W7
ZB,JD,P03,V5
ZB,JD,P04,V4
ZB,JD,P05,GND
ZB,JD,P06,PWR
ZB,JD,P07,W6
ZB,JD,P08,W5
ZB,JD,P09,U6
ZB,JD,P10,U5
ZB,JD,P11,GND
ZB,JD,P12,PWR
ZB,JE,P01,A6
ZB,JE,P02,G7
ZB,JE,P03,B4
ZB,JE,P04,C5
ZB,JE,P05,GND
ZB,JE,P06,PWR
ZB,JE,P07,G6
ZB,JE,P08,C4
ZB,JE,P09,B6
ZB,JE,P10,E6
ZB,JE,P11,GND
ZB,JE,P12,PWR
ZB,BTN,PU,T18
ZB,BTN,PR,R18
ZB,BTN,PD,R16
ZB,BTN,PC,P16
ZB,BTN,PL,N15
ZB,PB,P01,D13
ZB,PB,P02,C10
ZB,SW,P00,F22
ZB,SW,P01,G22
ZB,SW,P02,H22
ZB,SW,P03,F21
ZB,SW,P04,H19
ZB,SW,P05,H18
ZB,SW,P06,H17
ZB,SW,P07,M15
ZB,LD,P00,T22
ZB,LD,P01,T21
ZB,LD,P02,U22
ZB,LD,P03,U21
ZB,LD,P04,V22
ZB,LD,P05,W22
ZB,LD,P06,U19
ZB,LD,P07,U14
ZB,XJ1,P01,M19
ZB,XJ1,P03,M20
ZB,XJ1,P05,N19
ZB,XJ1,P07,N20
ZB,XJ1,P09,P17
ZB,XJ1,P11,P18
ZB,XJ1,P13,N22
ZB,XJ1,P15,P22
ZB,XJ1,P17,M21
ZB,XJ1,P19,M22
ZB,XJ1,P21,J18
ZB,XJ1,P23,K18
ZB,XJ1,P25,L21
ZB,XJ1,P27,L22
ZB,XJ1,P29,T16
ZB,XJ1,P31,T17
ZB,XJ1,P33,J21
ZB,XJ1,P35,J22
ZB,XJ1,P37,R20
ZB,XJ1,P39,R21
ZB,XJ1,P02,R19
ZB,XJ1,P04,T19
ZB,XJ1,P06,N17
ZB,XJ1,P08,N18
ZB,XJ1,P10,P20
ZB,XJ1,P12,P21
ZB,XJ1,P14,L17
ZB,XJ1,P16,M17
ZB,XJ1,P18,K19
ZB,XJ1,P20,K20
ZB,XJ1,P22,J16
ZB,XJ1,P24,J17
ZB,XJ1,P26,J20
ZB,XJ1,P28,K21
ZB,XJ1,P30,B19
ZB,XJ1,P32,B20
ZB,XJ1,P34,D20
ZB,XJ1,P36,C20
ZB,XJ1,P38,G15
ZB,XJ1,P40,G16
ZB,XJ15,P01,PWR
ZB,XJ15,P02,GND
ZB,XJ15,P03,A21
ZB,XJ15,P04,A22
ZB,XJ15,P05,B21
ZB,XJ15,P06,B22
ZB,XJ16,P01,PWR
ZB,XJ16,P02,PWR
ZB,XJ16,P03,GND
ZB,XJ16,P04,GND
ZB,XJ16,P05,A16
ZB,XJ16,P06,C15
ZB,XJ16,P07,A17
ZB,XJ16,P08,B15
ZB,XJ16,P09,C17
ZB,XJ16,P10,B16
ZB,XJ16,P11,C18
ZB,XJ16,P12,B17
ZB,XJ20,P01,G20
ZB,XJ20,P03,G21
ZB,XJ20,P05,E19
ZB,XJ20,P07,E20
ZB,XJ20,P09,G19
ZB,XJ20,P11,F19
ZB,XJ20,P13,E15
ZB,XJ20,P15,D15
ZB,XJ20,P02,A18
ZB,XJ20,P04,A19
ZB,XJ20,P06,D22
ZB,XJ20,P08,C22
ZB,XJ20,P10,F18
ZB,XJ20,P12,E18
ZB,XJ20,P14,E21
ZB,XJ20,P16,D21
