,
chip_pad,pad_signal,memory_byte_group,bank,vccaux_group,super_logic_region,io_type,nc_part
P9,DONE_0,NA,0,NA,NA,CONFIG,NA
J8,DXP_0,NA,0,NA,NA,CONFIG,NA
F7,GNDADC_0,NA,0,NA,NA,CONFIG,NA
F8,VCCADC_0,NA,0,NA,NA,CONFIG,NA
H8,VREFP_0,NA,0,NA,NA,CONFIG,NA
H7,VN_0,NA,0,NA,NA,CONFIG,NA
B8,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
A7,TCK_0,NA,0,NA,NA,CONFIG,NA
J7,DXN_0,NA,0,NA,NA,CONFIG,NA
G7,VREFN_0,NA,0,NA,NA,CONFIG,NA
G8,VP_0,NA,0,NA,NA,CONFIG,NA
A8,CCLK_0,NA,0,NA,NA,CONFIG,NA
M7,M0_0,NA,0,NA,NA,CONFIG,NA
M8,M1_0,NA,0,NA,NA,CONFIG,NA
P8,INIT_B_0,NA,0,NA,NA,CONFIG,NA
P7,TDI_0,NA,0,NA,NA,CONFIG,NA
P6,TDO_0,NA,0,NA,NA,CONFIG,NA
M9,M2_0,NA,0,NA,NA,CONFIG,NA
N7,CFGBVS_0,NA,0,NA,NA,CONFIG,NA
L7,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
M6,TMS_0,NA,0,NA,NA,CONFIG,NA
E11,IO_0_14,NA,14,NA,NA,HR,NA
B11,IO_L1P_T0_D00_MOSI_14,0,14,NA,NA,HR,NA
B12,IO_L1N_T0_D01_DIN_14,0,14,NA,NA,HR,NA
D10,IO_L2P_T0_D02_14,0,14,NA,NA,HR,NA
C10,IO_L2N_T0_D03_14,0,14,NA,NA,HR,NA
B10,IO_L3P_T0_DQS_PUDC_B_14,0,14,NA,NA,HR,NA
A10,IO_L3N_T0_DQS_EMCCLK_14,0,14,NA,NA,HR,NA
A12,IO_L4P_T0_D04_14,0,14,NA,NA,HR,NA
A13,IO_L4N_T0_D05_14,0,14,NA,NA,HR,NA
B13,IO_L5P_T0_D06_14,0,14,NA,NA,HR,NA
B14,IO_L5N_T0_D07_14,0,14,NA,NA,HR,NA
C11,IO_L6P_T0_FCS_B_14,0,14,NA,NA,HR,NA
C12,IO_L6N_T0_D08_VREF_14,0,14,NA,NA,HR,NA
F12,IO_L7P_T1_D09_14,1,14,NA,NA,HR,NA
E12,IO_L7N_T1_D10_14,1,14,NA,NA,HR,NA
D12,IO_L8P_T1_D11_14,1,14,NA,NA,HR,NA
D13,IO_L8N_T1_D12_14,1,14,NA,NA,HR,NA
G14,IO_L9P_T1_DQS_14,1,14,NA,NA,HR,NA
F14,IO_L9N_T1_DQS_D13_14,1,14,NA,NA,HR,NA
F13,IO_L10P_T1_D14_14,1,14,NA,NA,HR,NA
E13,IO_L10N_T1_D15_14,1,14,NA,NA,HR,NA
